src_file,category,dst_file
tests/pass/atomic-compare-exchange-weak-never-fail.rs,Excluded,
tests/pass/cfg_miri.rs,Excluded,
tests/pass/open_a_file_in_proc.rs,Excluded,
tests/pass/miri_start_no_std.rs,Excluded,
tests/pass/unops.rs,Exit 0,miri-tests/pass/unops.rs
tests/pass/enum_discriminant_ptr_value.rs,Other UB,
tests/pass/enums.rs,Exit 0,miri-tests/pass/enums.rs
tests/pass/atomic-readonly-load.rs,Exit 0,miri-tests/pass/atomic-readonly-load.rs
tests/pass/closure-drop.rs,Exit 0,miri-tests/pass/closure-drop.rs
tests/pass/move-arg-3-unique.rs,Exit 0,miri-tests/pass/move-arg-3-unique.rs
tests/pass/tuple_like_enum_variant_constructor_pointer_opt.rs,Exit 0,miri-tests/pass/tuple_like_enum_variant_constructor_pointer_opt.rs
tests/pass/specialization.rs,Exit 0,miri-tests/pass/specialization.rs
tests/pass/float_extra_rounding_error.rs,Exit 1,
tests/pass/trivial.rs,Exit 0,miri-tests/pass/trivial.rs
tests/pass/strange_references.rs,Exit 0,miri-tests/pass/strange_references.rs
tests/pass/slices.rs,Exit 0,miri-tests/pass/slices.rs
tests/pass/sums.rs,Exit 0,miri-tests/pass/sums.rs
tests/pass/drop_on_zst_array_elements.rs,Exit 0,miri-tests/pass/drop_on_zst_array_elements.rs
tests/pass/alloc-access-tracking.rs,Excluded,
tests/pass/arrays.rs,Exit 0,miri-tests/pass/arrays.rs
tests/pass/associated-const.rs,Exit 0,miri-tests/pass/associated-const.rs
tests/pass/sendable-class.rs,Exit 0,miri-tests/pass/sendable-class.rs
tests/pass/async-closure.rs,Exit 0,miri-tests/pass/async-closure.rs
tests/pass/format.rs,Exit 0,miri-tests/pass/format.rs
tests/pass/ptr_int_casts.rs,Exit 0,miri-tests/pass/ptr_int_casts.rs
tests/pass/memchr.rs,Exit 0,miri-tests/pass/memchr.rs
tests/pass/align_offset_symbolic.rs,Exit 0,miri-tests/pass/align_offset_symbolic.rs
tests/pass/assume_bug.rs,Exit 0,miri-tests/pass/assume_bug.rs
tests/pass/intptrcast.rs,Exit 0,miri-tests/pass/intptrcast.rs
tests/pass/static_mut.rs,Exit 0,miri-tests/pass/static_mut.rs
tests/pass/ptr_int_transmute.rs,Exit 0,miri-tests/pass/ptr_int_transmute.rs
tests/pass/small_enum_size_bug.rs,Exit 0,miri-tests/pass/small_enum_size_bug.rs
